episode,agent_id,pos_x,pos_y,total_reward,food_collected,collisions,random_actions,greedy_actions,epsilon
91,1,4,3,30,14,2,6,94,0.06305556603555869
91,2,6,5,-60,4,0,13,87,0.06305556603555869
92,0,1,5,-70,3,0,8,92,0.0627402882053809
92,1,8,2,-60,4,0,10,90,0.0627402882053809
92,2,9,2,-80,2,0,4,96,0.0627402882053809
93,0,8,1,-70,3,3,4,96,0.062426586764353996
93,1,0,2,-80,3,2,10,90,0.062426586764353996
93,2,4,0,-45,6,1,10,90,0.062426586764353996
94,0,5,3,-50,5,1,5,95,0.062114453830532226
94,1,5,5,-35,7,1,13,87,0.062114453830532226
94,2,5,4,-30,7,0,4,96,0.062114453830532226
95,0,4,2,-40,6,0,4,96,0.061803881561379566
95,1,4,0,-40,6,0,6,94,0.061803881561379566
95,2,3,4,-40,6,0,7,93,0.061803881561379566
96,0,4,7,-30,7,3,1,99,0.061494862153572666
96,1,4,3,-50,5,0,12,88,0.061494862153572666
96,2,7,5,-85,3,3,2,98,0.061494862153572666
97,0,1,7,-20,8,1,7,93,0.0611873878428048
97,1,0,1,-65,4,1,7,93,0.0611873878428048
97,2,7,5,-70,3,0,2,98,0.0611873878428048
98,0,4,2,-70,3,1,8,92,0.060881450903590775
98,1,3,7,-95,1,1,7,93,0.060881450903590775
98,2,1,0,-70,3,0,4,96,0.060881450903590775
99,0,4,4,-70,3,0,5,95,0.06057704364907282
99,1,8,8,-70,3,1,4,96,0.06057704364907282
99,2,9,9,-55,5,1,7,93,0.06057704364907282
100,0,2,6,-60,4,1,9,91,0.06027415843082746
100,1,4,3,-80,2,3,4,96,0.06027415843082746
100,2,1,3,-110,1,4,5,95,0.06027415843082746
101,0,7,6,-60,4,0,5,95,0.05997278763867332
101,1,3,4,-50,5,0,5,95,0.05997278763867332
101,2,2,6,-60,4,0,6,94,0.05997278763867332
102,0,2,2,-70,3,1,8,92,0.059672923700479955
102,1,2,1,-85,2,3,2,98,0.059672923700479955
102,2,1,0,-40,7,2,6,94,0.059672923700479955
103,0,7,6,-50,5,10,7,93,0.05937455908197756
103,1,3,9,-110,4,10,9,91,0.05937455908197756
103,2,9,5,-80,2,0,6,94,0.05937455908197756
104,0,6,1,-30,7,0,8,92,0.05907768628656767
104,1,2,4,-60,4,0,3,97,0.05907768628656767
104,2,4,6,-30,7,0,8,92,0.05907768628656767
105,0,7,2,-70,3,1,9,91,0.05878229785513483
105,1,0,2,-85,2,1,8,92,0.05878229785513483
105,2,5,5,0,10,0,7,93,0.05878229785513483
